Feature	CPF	Disting	Distinct	Feat_Length_Including_Spaces	Number_Of_Words	BR_Label	Display
a_plant	3	ND	0.333	7	2	taxonomic	a plant
a_plate	1	D	1.000	7	2	taxonomic	a plate
a_poultry	1	D	1.000	9	2	taxonomic	a poultry
a_predator	9	ND	0.111	10	2	taxonomic	a predator
a_prize	1	D	1.000	7	2	taxonomic	a prize
a_rabbit	1	D	1.000	8	2	taxonomic	a rabbit
a_relative_of_cats	1	D	1.000	18	4	taxonomic	a relative of cats
a_relative_of_frogs	1	D	1.000	19	4	taxonomic	a relative of frogs
a_relative_of_humans	1	D	1.000	20	4	taxonomic	a relative of humans
a_reptile	8	ND	0.125	9	2	taxonomic	a reptile
a_reward	1	D	1.000	8	2	taxonomic	a reward
a_rock	1	D	1.000	6	2	taxonomic	a rock
a_rodent	5	ND	0.200	8	2	taxonomic	a rodent
a_room	2	D	0.500	6	2	taxonomic	a room
a_root	3	ND	0.333	6	2	taxonomic	a root
a_rug	1	D	1.000	5	2	taxonomic	a rug
a_safety_accessory	1	D	1.000	18	3	taxonomic	a safety accessory
a_scavenger	5	ND	0.200	11	2	taxonomic	a scavenger
a_seafood	4	ND	0.250	9	2	taxonomic	a seafood
a_seasoning	1	D	1.000	11	2	taxonomic	a seasoning
a_shirt	1	D	1.000	7	2	taxonomic	a shirt
a_shoe	1	D	1.000	6	2	taxonomic	a shoe
a_shovel	1	D	1.000	8	2	taxonomic	a shovel
a_sign	1	D	1.000	6	2	taxonomic	a sign
a_small_horse	1	D	1.000	13	3	taxonomic	a small horse
a_snake	1	D	1.000	7	2	taxonomic	a snake
a_space	1	D	1.000	7	2	taxonomic	a space
a_spice	2	D	0.500	7	2	taxonomic	a spice
a_spoon	1	D	1.000	7	2	taxonomic	a spoon
a_stairs	1	D	1.000	8	2	taxonomic	a stairs
a_stick	1	D	1.000	7	2	taxonomic	a stick
a_stockings	1	D	1.000	11	2	taxonomic	a stockings
a_stone	2	D	0.500	7	2	taxonomic	a stone
a_tap	1	D	1.000	5	2	taxonomic	a tap
a_tights	1	D	1.000	8	2	taxonomic	a tights
a_tool	18	ND	0.056	6	2	taxonomic	a tool
a_toy	5	ND	0.200	5	2	taxonomic	a toy
a_train	1	D	1.000	7	2	taxonomic	a train
a_treat	1	D	1.000	7	2	encyclopaedic	a treat
a_tree	5	ND	0.200	6	2	taxonomic	a tree
a_truck	1	D	1.000	7	2	taxonomic	a truck
a_tube	1	D	1.000	6	2	taxonomic	a tube
a_turtle	1	D	1.000	8	2	taxonomic	a turtle
a_type_of_wood	1	D	1.000	14	4	taxonomic	a type of wood
a_UFO	1	D	1.000	5	2	taxonomic	a UFO
a_utensil	12	ND	0.083	9	2	taxonomic	a utensil
a_van	1	D	1.000	5	2	taxonomic	a van
a_vegetable	28	ND	0.036	11	2	taxonomic	a vegetable
a_vehicle	10	ND	0.100	9	2	taxonomic	a vehicle
a_vice	1	D	1.000	6	2	taxonomic	a vice
a_watch	1	D	1.000	7	2	taxonomic	a watch
a_weapon	29	ND	0.034	8	2	taxonomic	a weapon
a_weed	1	D	1.000	6	2	taxonomic	a weed
a_wolf	1	D	1.000	6	2	taxonomic	a wolf
a_wonder_of_the_world	1	D	1.000	21	5	taxonomic	a wonder of the world
a_woodwind	1	D	1.000	10	2	taxonomic	a woodwind
an_airplane	1	D	1.000	11	2	taxonomic	an airplane
an_amphibian	3	ND	0.333	12	2	taxonomic	an amphibian
an_animal	99	ND	0.010	9	2	taxonomic	an animal
an_appliance	10	ND	0.100	12	2	taxonomic	an appliance
an_award	2	D	0.500	8	2	taxonomic	an award
an_axe	2	D	0.500	6	2	taxonomic	an axe
an_evergreen	2	D	0.500	12	2	taxonomic	an evergreen
an_explosive	1	D	1.000	12	2	taxonomic	an explosive
an_inanimate	1	D	1.000	12	2	taxonomic	an inanimate
an_insect	12	ND	0.083	9	2	taxonomic	an insect
an_instrument	1	D	1.000	13	2	taxonomic	an instrument
an_oven	1	D	1.000	7	2	taxonomic	an oven
an_undergarment	2	D	0.500	15	2	taxonomic	an undergarment
associated_with_2_bedrooms	1	D	1.000	26	4	encyclopaedic	associated with 2 bedrooms
associated_with_achievements	1	D	1.000	28	3	encyclopaedic	associated with achievements
associated_with_angels	1	D	1.000	22	3	encyclopaedic	associated with angels
associated_with_babies	1	D	1.000	22	3	encyclopaedic	associated with babies
associated_with_bad_hair_days	1	D	1.000	29	5	encyclopaedic	associated with bad hair days
associated_with_baseball	1	D	1.000	24	3	encyclopaedic	associated with baseball
associated_with_Batman	1	D	1.000	22	3	encyclopaedic	associated with Batman
associated_with_Bell	1	D	1.000	20	3	encyclopaedic	associated with Bell
associated_with_cartoons	1	D	1.000	24	3	encyclopaedic	associated with cartoons
associated_with_cheese	1	D	1.000	22	3	encyclopaedic	associated with cheese
associated_with_China	1	D	1.000	21	3	encyclopaedic	associated with China
associated_with_cigarettes	1	D	1.000	26	3	encyclopaedic	associated with cigarettes
associated_with_couch_potato	1	D	1.000	28	4	encyclopaedic	associated with couch potato
associated_with_Dracula	1	D	1.000	23	3	encyclopaedic	associated with Dracula
associated_with_Easter	1	D	1.000	22	3	encyclopaedic	associated with Easter
associated_with_envelopes	1	D	1.000	25	3	encyclopaedic	associated with envelopes
associated_with_Eskimos	1	D	1.000	23	3	encyclopaedic	associated with Eskimos
associated_with_fairy_tales	1	D	1.000	27	4	encyclopaedic	associated with fairy tales
associated_with_football_games	1	D	1.000	30	4	encyclopaedic	associated with football games
associated_with_holidays	1	D	1.000	24	3	encyclopaedic	associated with holidays
associated_with_hot_air_balloons	1	D	1.000	32	5	encyclopaedic	associated with hot air balloons
associated_with_humans	1	D	1.000	22	3	encyclopaedic	associated with humans
associated_with_knights	1	D	1.000	23	3	encyclopaedic	associated with knights
associated_with_Lion_King	1	D	1.000	25	4	encyclopaedic	associated with Lion King
associated_with_morning	1	D	1.000	23	3	encyclopaedic	associated with morning
associated_with_Olympics	1	D	1.000	24	3	encyclopaedic	associated with Olympics
associated_with_pageants	1	D	1.000	24	3	encyclopaedic	associated with pageants
associated_with_polkas	1	D	1.000	22	3	encyclopaedic	associated with polkas
associated_with_Popeye	1	D	1.000	22	3	encyclopaedic	associated with Popeye
associated_with_religion	3	ND	0.333	24	3	encyclopaedic	associated with religion
associated_with_rock_and_roll	1	D	1.000	29	5	encyclopaedic	associated with rock and roll
associated_with_saddles	1	D	1.000	23	3	encyclopaedic	associated with saddles
associated_with_Scotland	1	D	1.000	24	3	encyclopaedic	associated with Scotland
associated_with_snakes	1	D	1.000	22	3	encyclopaedic	associated with snakes
associated_with_sneezing	1	D	1.000	24	3	encyclopaedic	associated with sneezing
associated_with_Superman	1	D	1.000	24	3	encyclopaedic	associated with Superman
associated_with_swimming_pools	1	D	1.000	30	4	encyclopaedic	associated with swimming pools
associated_with_swords	1	D	1.000	22	3	encyclopaedic	associated with swords
associated_with_The_House_of_God	1	D	1.000	32	6	encyclopaedic	associated with The House of God
associated_with_training	1	D	1.000	24	3	encyclopaedic	associated with training
associated_with_vampires	1	D	1.000	24	3	encyclopaedic	associated with vampires
associated_with_winning	1	D	1.000	23	3	encyclopaedic	associated with winning
associated_with_winter	1	D	1.000	22	3	encyclopaedic	associated with winter
associated_with_witches	1	D	1.000	23	3	encyclopaedic	associated with witches
becomes_a_butterfly	1	D	1.000	19	3	encyclopaedic	becomes a butterfly
beh_-_bahs	2	D	0.500	10	3	sound	beh - bahs
beh_-_bark_peals_off	1	D	1.000	20	5	encyclopaedic	beh - bark peals off
beh_-_barks	1	D	1.000	11	3	sound	beh - barks
beh_-_bites	4	ND	0.250	11	3	visual-motion	beh - bites
beh_-_branches_droop_down	1	D	1.000	25	5	visual-form_and_surface	beh - branches droop down
beh_-_breathes	1	D	1.000	14	3	encyclopaedic	beh - breathes
beh_-_builds_dams	1	D	1.000	17	4	encyclopaedic	beh - builds dams
beh_-_builds_nests	10	ND	0.100	18	4	encyclopaedic	beh - builds nests
beh_-_burrows	2	D	0.500	13	3	visual-motion	beh - burrows
beh_-_buzzes	3	ND	0.333	12	3	sound	beh - buzzes
beh_-_cannot_fly	7	ND	0.143	16	4	encyclopaedic	beh - cannot fly
beh_-_caws	2	D	0.500	10	3	sound	beh - caws
beh_-_chases	1	D	1.000	12	3	visual-motion	beh - chases
beh_-_chases_cats	1	D	1.000	17	4	visual-motion	beh - chases cats
beh_-_chews_on_wood	1	D	1.000	19	5	visual-motion	beh - chews on wood
beh_-_chirps	6	ND	0.167	12	3	sound	beh - chirps
beh_-_climbs	2	D	0.500	12	3	visual-motion	beh - climbs
beh_-_climbs_trees	4	ND	0.250	18	4	visual-motion	beh - climbs trees
beh_-_clucks	1	D	1.000	12	3	sound	beh - clucks
beh_-_cocoons	1	D	1.000	13	3	encyclopaedic	beh - cocoons
beh_-_communicates	1	D	1.000	18	3	sound	beh - communicates
beh_-_coos	1	D	1.000	10	3	sound	beh - coos
beh_-_crawls	5	ND	0.200	12	3	visual-motion	beh - crawls
beh_-_croaks	2	D	0.500	12	3	sound	beh - croaks
beh_-_crows	1	D	1.000	11	3	sound	beh - crows
beh_-_cuts_down_trees	1	D	1.000	21	5	encyclopaedic	beh - cuts down trees
beh_-_digs_holes	3	ND	0.333	16	4	visual-motion	beh - digs holes
beh_-_does_tricks	2	D	0.500	17	4	encyclopaedic	beh - does tricks
beh_-_drinks	1	D	1.000	12	3	visual-motion	beh - drinks
beh_-_drinks_water	2	D	0.500	18	4	visual-motion	beh - drinks water
beh_-_eats	39	ND	0.026	10	3	visual-motion	beh - eats
beh_-_eats_animals	2	D	0.500	18	4	visual-motion	beh - eats animals
beh_-_eats_anything	1	D	1.000	19	4	visual-motion	beh - eats anything
beh_-_eats_bananas	2	D	0.500	18	4	visual-motion	beh - eats bananas
beh_-_eats_bugs	1	D	1.000	15	4	visual-motion	beh - eats bugs
beh_-_eats_carrots	2	D	0.500	18	4	visual-motion	beh - eats carrots
beh_-_eats_cheese	1	D	1.000	17	4	visual-motion	beh - eats cheese
beh_-_eats_clothing	1	D	1.000	19	4	visual-motion	beh - eats clothing
beh_-_eats_dead_flesh	2	D	0.500	21	5	visual-motion	beh - eats dead flesh
beh_-_eats_fish	7	ND	0.143	15	4	visual-motion	beh - eats fish
beh_-_eats_fish_food	1	D	1.000	20	5	visual-motion	beh - eats fish food
beh_-_eats_flies	3	ND	0.333	16	4	visual-motion	beh - eats flies
beh_-_eats_garbage	5	ND	0.200	18	4	visual-motion	beh - eats garbage
beh_-_eats_grain	1	D	1.000	16	4	visual-motion	beh - eats grain
beh_-_eats_grass	7	ND	0.143	16	4	visual-motion	beh - eats grass
beh_-_eats_hay	1	D	1.000	14	4	visual-motion	beh - eats hay
beh_-_eats_insects	5	ND	0.200	18	4	visual-motion	beh - eats insects
beh_-_eats_leaves	3	ND	0.333	17	4	visual-motion	beh - eats leaves
beh_-_eats_mice	3	ND	0.333	15	4	visual-motion	beh - eats mice
beh_-_eats_nuts	2	D	0.500	15	4	visual-motion	beh - eats nuts
beh_-_eats_peanuts	1	D	1.000	18	4	visual-motion	beh - eats peanuts
beh_-_eats_people	2	D	0.500	17	4	visual-motion	beh - eats people
beh_-_eats_rodents	3	ND	0.333	18	4	visual-motion	beh - eats rodents
beh_-_eats_seeds	3	ND	0.333	16	4	visual-motion	beh - eats seeds
beh_-_eats_small_animals	1	D	1.000	24	5	visual-motion	beh - eats small animals
beh_-_eats_water_plants	1	D	1.000	23	5	visual-motion	beh - eats water plants
beh_-_eats_worms	3	ND	0.333	16	4	visual-motion	beh - eats worms
beh_-_fans_tail_feathers	1	D	1.000	24	5	visual-motion	beh - fans tail feathers
beh_-_flies	46	ND	0.022	11	3	visual-motion	beh - flies
beh_-_gobbles	1	D	1.000	13	3	sound	beh - gobbles
beh_-_hates_red	1	D	1.000	15	4	encyclopaedic	beh - hates red
beh_-_hibernates	3	ND	0.333	16	3	encyclopaedic	beh - hibernates
beh_-_honks	1	D	1.000	11	3	sound	beh - honks
beh_-_hoots	1	D	1.000	11	3	sound	beh - hoots
beh_-_hops	4	ND	0.250	10	3	visual-motion	beh - hops
beh_-_howls	1	D	1.000	11	3	sound	beh - howls
beh_-_hunts	5	ND	0.200	11	3	encyclopaedic	beh - hunts
beh_-_is_attracted_to_light	1	D	1.000	27	6	encyclopaedic	beh - is attracted to light
beh_-_is_nocturnal	3	ND	0.333	18	4	encyclopaedic	beh - is nocturnal
beh_-_is_quiet	1	D	1.000	14	4	sound	beh - is quiet
beh_-_jumps	5	ND	0.200	11	3	visual-motion	beh - jumps
beh_-_kills	1	D	1.000	11	3	encyclopaedic	beh - kills
beh_-_kills_people	1	D	1.000	18	4	encyclopaedic	beh - kills people
beh_-_laughs	1	D	1.000	12	3	sound	beh - laughs
beh_-_lays_blue_eggs	1	D	1.000	20	5	encyclopaedic	beh - lays blue eggs
beh_-_lays_eggs	32	ND	0.031	15	4	encyclopaedic	beh - lays eggs
beh_-_lays_large_eggs	1	D	1.000	21	5	encyclopaedic	beh - lays large eggs
beh_-_likes_flowers	1	D	1.000	19	4	encyclopaedic	beh - likes flowers
beh_-_loses_leaves_in_the_fall	1	D	1.000	30	7	encyclopaedic	beh - loses leaves in the fall
beh_-_makes_loud_noises	2	D	0.500	23	5	sound	beh - makes loud noises
beh_-_makes_noises	2	D	0.500	18	4	sound	beh - makes noises
beh_-_meows	1	D	1.000	11	3	sound	beh - meows
beh_-_migrates	5	ND	0.200	14	3	encyclopaedic	beh - migrates
beh_-_moos	2	D	0.500	10	3	sound	beh - moos
beh_-_oinks	1	D	1.000	11	3	sound	beh - oinks
beh_-_pecks	1	D	1.000	11	3	visual-motion	beh - pecks
beh_-_pollinates_flowers	1	D	1.000	24	4	visual-motion	beh - pollinates flowers
beh_-_produces_manure	3	ND	0.333	21	4	visual-motion	beh - produces manure
beh_-_produces_milk	2	D	0.500	19	4	visual-motion	beh - produces milk
beh_-_produces_offspring	4	ND	0.250	24	4	encyclopaedic	beh - produces offspring
beh_-_produces_poison	1	D	1.000	21	4	encyclopaedic	beh - produces poison
beh_-_produces_pollen	1	D	1.000	21	4	encyclopaedic	beh - produces pollen
beh_-_purrs	1	D	1.000	11	3	sound	beh - purrs
beh_-_puts_holes_in_trees	1	D	1.000	25	6	visual-motion	beh - puts holes in trees
beh_-_quacks	1	D	1.000	12	3	sound	beh - quacks
beh_-_rattles	1	D	1.000	13	3	sound	beh - rattles
beh_-_roars	2	D	0.500	11	3	sound	beh - roars
beh_-_runs	5	ND	0.200	10	3	visual-motion	beh - runs
beh_-_runs_fast	3	ND	0.333	15	4	visual-motion	beh - runs fast
beh_-_runs_on_wheels	1	D	1.000	20	5	visual-motion	beh - runs on wheels
beh_-_screeches	1	D	1.000	15	3	sound	beh - screeches
beh_-_sees_its_shadow	1	D	1.000	21	5	encyclopaedic	beh - sees its shadow
beh_-_sees_well	1	D	1.000	15	4	encyclopaedic	beh - sees well
beh_-_shoots_ink	2	D	0.500	16	4	visual-motion	beh - shoots ink
beh_-_shoots_quills	1	D	1.000	19	4	visual-motion	beh - shoots quills
beh_-_sings	11	ND	0.091	11	3	sound	beh - sings
beh_-_sits_on_lily_pads	1	D	1.000	23	6	encyclopaedic	beh - sits on lily pads
beh_-_sleeps_upside_down	1	D	1.000	24	5	encyclopaedic	beh - sleeps upside down
beh_-_slithers	3	ND	0.333	14	3	visual-motion	beh - slithers
beh_-_soars	1	D	1.000	11	3	visual-motion	beh - soars
beh_-_spins_webs	1	D	1.000	16	4	visual-motion	beh - spins webs
beh_-_spits	1	D	1.000	11	3	visual-motion	beh - spits
beh_-_spouts_water	1	D	1.000	18	4	visual-motion	beh - spouts water
beh_-_sprays_when_in_danger	1	D	1.000	27	6	visual-motion	beh - sprays when in danger
beh_-_squawks	1	D	1.000	13	3	sound	beh - squawks
beh_-_squeaks	1	D	1.000	13	3	sound	beh - squeaks
beh_-_squeals	1	D	1.000	13	3	sound	beh - squeals
beh_-_stains	2	D	0.500	12	3	encyclopaedic	beh - stains
beh_-_stands_on_one_leg	1	D	1.000	23	6	encyclopaedic	beh - stands on one leg
beh_-_sticks_head_in_sand	1	D	1.000	25	6	visual-motion	beh - sticks head in sand
beh_-_stings	2	D	0.500	12	3	visual-motion	beh - stings
beh_-_stores_water	1	D	1.000	18	4	encyclopaedic	beh - stores water
beh_-_strangles_prey	1	D	1.000	20	4	visual-motion	beh - strangles prey
beh_-_suckles_milk	1	D	1.000	18	4	visual-motion	beh - suckles milk
beh_-_sucks_blood	1	D	1.000	17	4	visual-motion	beh - sucks blood
beh_-_swims	33	ND	0.030	11	3	visual-motion	beh - swims
beh_-_swims_fast	1	D	1.000	16	4	visual-motion	beh - swims fast
beh_-_swims_in_schools	1	D	1.000	22	5	visual-motion	beh - swims in schools
beh_-_swings_from_trees	1	D	1.000	23	5	visual-motion	beh - swings from trees
beh_-_talks	2	D	0.500	11	3	sound	beh - talks
beh_-_travels_in_herds	5	ND	0.200	22	5	visual-motion	beh - travels in herds
beh_-_uses_radar_to_navigate	1	D	1.000	28	6	encyclopaedic	beh - uses radar to navigate
beh_-_waddles	2	D	0.500	13	3	visual-motion	beh - waddles
beh_-_walks	1	D	1.000	11	3	visual-motion	beh - walks
beh_-_walks_sideways	1	D	1.000	20	4	visual-motion	beh - walks sideways
beh_-_walks_slowly	1	D	1.000	18	4	visual-motion	beh - walks slowly
beh_-_wiggles	1	D	1.000	13	3	visual-motion	beh - wiggles
beh_-_will_snap_at_people	1	D	1.000	25	6	visual-motion	beh - will snap at people
bought/sold_in_hardware_stores	1	D	1.000	30	4	encyclopaedic	bought/sold in hardware stores
bought/sold_in_stores	5	ND	0.200	21	3	encyclopaedic	bought/sold in stores
carries_disease	1	D	1.000	15	2	encyclopaedic	carries disease
causes_allergies	1	D	1.000	16	2	encyclopaedic	causes allergies
causes_bad_breath	2	D	0.500	17	3	encyclopaedic	causes bad breath
causes_cancer	2	D	0.500	13	2	encyclopaedic	causes cancer
causes_crying/tears	1	D	1.000	19	2	encyclopaedic	causes crying/tears
causes_disease	1	D	1.000	14	2	encyclopaedic	causes disease
causes_freezer_burn	1	D	1.000	19	3	encyclopaedic	causes freezer burn
causes_gas	1	D	1.000	10	2	encyclopaedic	causes gas
causes_itching	1	D	1.000	14	2	encyclopaedic	causes itching
causes_pollution	1	D	1.000	16	2	encyclopaedic	causes pollution
clothing	34	ND	0.029	8	1	taxonomic	clothing
comes_from_a_caterpillar	1	D	1.000	24	4	encyclopaedic	comes from a caterpillar
comes_from_a_cocoon	1	D	1.000	19	4	encyclopaedic	comes from a cocoon
comes_from_trees	2	D	0.500	16	3	encyclopaedic	comes from trees
comes_frozen	1	D	1.000	12	2	encyclopaedic	comes frozen
comes_in_a_brine	1	D	1.000	16	4	encyclopaedic	comes in a brine
comes_in_arrangements	1	D	1.000	21	3	visual-form_and_surface	comes in arrangements
comes_in_bags	1	D	1.000	13	3	encyclopaedic	comes in bags
comes_in_boxes	1	D	1.000	14	3	encyclopaedic	comes in boxes
comes_in_bulbs	2	D	0.500	14	3	visual-form_and_surface	comes in bulbs
comes_in_bunches	1	D	1.000	16	3	encyclopaedic	comes in bunches
comes_in_cans	2	D	0.500	13	3	encyclopaedic	comes in cans
comes_in_cloves	1	D	1.000	15	3	visual-form_and_surface	comes in cloves
comes_in_jars	1	D	1.000	13	3	encyclopaedic	comes in jars
comes_in_pairs	7	ND	0.143	14	3	encyclopaedic	comes in pairs
comes_in_rolls	1	D	1.000	14	3	visual-form_and_surface	comes in rolls
comes_in_small_pieces	1	D	1.000	21	4	visual-form_and_surface	comes in small pieces
comes_on_cobs	1	D	1.000	13	3	visual-form_and_surface	comes on cobs
different_colours	58	ND	0.017	17	2	visual-colour	different colours
different_designs	1	D	1.000	17	2	visual-form_and_surface	different designs
different_kinds	1	D	1.000	15	2	encyclopaedic	different kinds
different_lengths	1	D	1.000	17	2	visual-form_and_surface	different lengths
different_shapes	3	ND	0.333	16	2	visual-form_and_surface	different shapes
different_sizes	19	ND	0.053	15	2	visual-form_and_surface	different sizes
different_speeds	2	D	0.500	16	2	encyclopaedic	different speeds
different_styles	3	ND	0.333	16	2	encyclopaedic	different styles
different_types	2	D	0.500	15	2	encyclopaedic	different types
dropped_from_airplanes	1	D	1.000	22	3	encyclopaedic	dropped from airplanes
eaten_as_bacon	1	D	1.000	14	3	function	eaten as bacon
eaten_as_beef	1	D	1.000	13	3	function	eaten as beef
eaten_as_coleslaw	1	D	1.000	17	3	function	eaten as coleslaw
eaten_as_escargot	1	D	1.000	17	3	function	eaten as escargot
eaten_as_food	1	D	1.000	13	3	function	eaten as food
eaten_as_french_fries	1	D	1.000	21	4	function	eaten as french fries
eaten_as_ham	1	D	1.000	12	3	function	eaten as ham
eaten_as_jam	1	D	1.000	12	3	function	eaten as jam
eaten_as_meat	6	ND	0.167	13	3	function	eaten as meat
eaten_as_pickles	2	D	0.500	16	3	function	eaten as pickles
eaten_as_popcorn	1	D	1.000	16	3	function	eaten as popcorn
eaten_as_pork	1	D	1.000	13	3	function	eaten as pork
eaten_as_prunes_(dried)	1	D	1.000	23	4	function	eaten as prunes (dried)
eaten_as_sauces	1	D	1.000	15	3	function	eaten as sauces
eaten_as_seasoning	1	D	1.000	18	3	function	eaten as seasoning
eaten_as_toast	1	D	1.000	14	3	function	eaten as toast
eaten_as_veal	1	D	1.000	13	3	function	eaten as veal
eaten_at_birthdays	1	D	1.000	18	3	encyclopaedic	eaten at birthdays
eaten_at_Christmas	3	ND	0.333	18	3	encyclopaedic	eaten at Christmas
eaten_at_special_occasions	1	D	1.000	26	4	encyclopaedic	eaten at special occasions
eaten_at_Thanksgiving	2	D	0.500	21	3	encyclopaedic	eaten at Thanksgiving
eaten_at_weddings	1	D	1.000	17	3	encyclopaedic	eaten at weddings
eaten_by_animals	1	D	1.000	16	3	function	eaten by animals
eaten_by_baking	6	ND	0.167	15	3	function	eaten by baking
eaten_by_birds	2	D	0.500	14	3	function	eaten by birds
eaten_by_boiling	2	D	0.500	16	3	function	eaten by boiling
eaten_by_catching	1	D	1.000	17	3	function	eaten by catching
eaten_by_chopping	1	D	1.000	17	3	function	eaten by chopping
eaten_by_cooking	15	ND	0.067	16	3	function	eaten by cooking
eaten_by_fish	2	D	0.500	13	3	function	eaten by fish
